"* Required Fields","* 必填栏目"
"Customer Group was successfully saved","成功保存客户分组"
"Customer Group","客户分组"
"Customer Groups","客户分组"
"Customer Information","客户信息"
"Customer Login","用户名"
"Customer Since","注册日期"
"Customer View","客户界面"
"Customer collection expected","需要客户组合"
"Customer doesn't have primary billing address","客户没有默认账单地址"
"Customer email already exists","客户的邮件地址已存在"
"Customer website id must be specified, when using website scope.","使用网站范围时必须指定网站 id."
"Customer","客户"
"Customers Only","仅限客户"
"Customers Section","客户单元"
"Customers","客户"
"DD","日日"
"Date Added","添加日期"
"Date of Birth is required.","必须填写出生日期。"
"Date of Birth","出生日期"
"Date","日期"
"Day","日"
"Days in Wishlist","收藏的天数"
"Default Addresses","默认地址"
"Default Billing Address","默认账单地址"
"Default Email Domain","默认邮件域名"
"Default Group","默认分组"
"Default Shipping Address","默认配送地址"
"Default Welcome Email","默认欢迎邮件"
"Delete Address","删除地址"
"Delete Customer Group","删除客户分组"
"Delete Customer","删除客户"
"Delete customer address","删除客户地址"
"Delete customer","删除客户"
"Delete","删除"
"Deleted Stores","删除商店"
"Details","详细"
"Disabled","未激活"
"Edit Account Info","修改帐户信息"
"Edit Account Information","修改帐户信息"
"Edit Address Entry","修改地址"
"Edit Address","修改地址"
"Edit Customer Group ""%s""","修改客户分组""%s"""
"Edit Customer Groups","修改客户分组"
"Edit Customer's Address","修改客户地址"
"Edit Group","修改分组"
"Edit Newsletter Subscription","修改邮件列表订阅"
"Edit Newsletters","修改邮件列表"
"Edit Personal Information","修改个人信息"
"Edit","修改"
"Email Address","电子邮件"
"Email Sender","电子邮件发件人"
"Email","电子邮件"
"Entity collection is expected","需要实体组合"
"Error during retrieval of option value: %s","获取选项值时出错：%s"
"Ext. Price","实际价格"
"Failed to confirm customer account.","认证客户帐号失败"
"Fax","传真"
"First Name","名字"
"First name can't be empty","名字不能为空"
"Forgot Email Sender","取回密码邮件的发件人"
"Forgot Email Template","取回密码邮件的模板"
"Forgot Your Password?","忘记您的密码了？"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","在我的帐号面板中，您可以查看最近帐户访问情况、更新帐户信息。选择下面的链接查看或修改信息。"
"General Subscription","通用信息订阅"
"Global","全局"
"Go to Address Book","转到地址薄"
"Grand Total","总计"
"Grand Total: %s","总计：%s"
"Group ""%s"" can not be deleted","分组 ""%s"" 无法删除"
"Group Information","分组信息"
"Group Name","分组名称"
"Group","分组"
"Guest","访客"
"HTML","HTML"
"Hello, %s!","您好，%s!"
"ID","编号"
"IP Address","IP 地址"
"If you have an account with us, please log in.","如果您已有帐号，请登录。"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性 %s (%s)的属性选项不正确，忽略该记录"
"Invalid attribute set specified, skipping the record","指定的属性集不正确，忽略该记录"
"Invalid current password","当前密码不正确"
"Invalid customer data","客户数据不正确"
"Invalid email address ""%s""","电子邮件地址不正确：""%s"""
"Invalid email address","电子邮件地址不正确"
"Invalid login or password.","电子邮件地址或密码不正确"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的选项编号不正确，忽略该记录"
"Invalid store specified, skipping the record","指定的商店不正确，忽略该记录"
"Items Order","订购商品"
"Last 5 Orders","最近 5 个订单"
"Last Activity","最近访问"
"Last Name","姓氏"
"Last Url","最近 URL"
"Last Viewed Items","最近查看"
"Last date subscribed","最后订阅日期"
"Last date unsubscribed","最后退订日期"
"Last name can't be empty","姓氏不能为空"
"Leave empty for default (15 minutes).","留空则使用默认设置（15分钟）。"
"Leave empty for default (2). Valid range: 1-4","留空则使用默认值(2)。可用范围：1-4"
"Lifetime Sales","全部销售"
"Log In","登录"
"Log Out","登出"
"Log in or Create an Account","登录或新建帐户"
"Login Information","登录信息"
"Login and password are required","需要用户名和密码"
"Login or Create an Account","登录或新建帐号"
"Login","登录"
"M.I.","M.I."
"MM","月月"
"Manage Addresses","地址管理"
"Manage Customers","客户管理"
"Missing email, skipping the record","缺少电子邮件，忽略该记录"
"Missing firstname, skipping the record","默认名字，忽略该记录"
"Missing lastname, skipping the record","缺少姓氏，忽略该记录"
"Month","月份"
"My Account Dashboard","My Account Dashboard"
"My Account","我的帐号"
"My Dashboard","我的面板"
"My Orders","我的订单"
"My Reviews","我的评论"
"My Tags","我的标签"
"My Wishlist","我的收藏"
"Name and Address Options","姓名与地址选项"
"Name","姓名"
"Never","从不"
"New Address Entry","增加一个地址"
"New Address","新增地址"
"New Customer Address","新客户地址"
"New Customer Group","新客户分组"
"New Customer Groups","新客户分组"
"New Customer","新客户"
"New Customers","新客户"
"New Group","新分组"
"New Password","新的密码"
"New account confirmation key","新注册帐户认证码"
"New account confirmed","新帐户已通过确认"
"New account","新的帐户"
"New password","新密码"
"Newsletter Finish","邮件列表完成"
"Newsletter Information","邮件列表信息"
"Newsletter Received","收到邮件列表"
"Newsletter Start","邮件列表开始"
"Newsletter Subscription","邮件列表订阅"
"Newsletter","邮件列表"
"Newsletters","邮件列表"
"No Items Found","没有找到项目"
"No Newsletter Found","没有邮件列表"
"No item specified.","未选定记录。"
"No product collections found","没有找到商品组合"
"Not Sent","没有发送"
"Not confirmed, can login","未验证，但允许登录"
"Not confirmed, cannot login","未验证，不允许登录"
"Number of lines in a street address ","地址行数"
"Offline","离线"
"Online Customers Options","在线客户选项"
"Online Customers","在线客户"
"Online Minutes Interval","在线时间间隔"
"Online","在线"
"Order #","订单号"
"Order #%s (%s)","订单号%s (%s)"
"Order List...","订单列表..."
"Order Total","订单总额"
"Orders","订单"
"PDF","PDF"
"Password Management","密码管理"
"Password Options","密码选项"
"Password can't be empty","密码不能为空"
"Password fields can't be empty.","密码字段不能为空。"
"Password forgotten","忘记密码"
"Password minimal length must be more %s","密码长度必须大于 %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","密码最少6个字符，前后空格将被忽略。"
"Password","密码"
"Paused","暂停"
"Payment Method","支付方式"
"Pending","等待中"
"Per Website","按网站"
"Personal Information","个人信息"
"Please enter your email below and we will send you a new password.","请在下面输入您的电子邮件，我们会将新的密码发给您。"
"Please enter your email below and we\'ll send you confirmation link for it.","请在下面输入您的电子邮件，我们会将确认链接发给您。"
"Please enter your email.","请输入您的电子邮件。"
"Please make sure your passwords match.","请确保密码一致。"
"Please select region, state or province","请选择地区、省份"
"Please select","请选择"
"Please, check your e-mail for confirmation key.","请检查您的电子邮件，查看确认码。"
"Prefix dropdown options","称谓下拉选项"
"Prefix","前缀"
"Price","价格"
"Primary Billing Address","默认账单地址"
"Primary Shipping Address","默认配送地址"
"Problem saving the collection, aborting. Error: %s","保存组合出错，退出。错误：%s"
"Product ID","商品编号"
"Product Name","商品名称"
"Product Reviews","商品评论"
"Product Tags","商品标签"
"Product name","商品名称"
"Product","商品"
"Purchase On","购买日期"
"Purchased at","购买时间"
"Qty","数量"
"Recent Orders","最近订单"
"Records for ""","记录"""
"Refunded","退款"
"Registered Customers","老客户"
"Remove","删除"
"Require Emails Confirmation","要求电子邮件验证"
"Retrieve address data","获取地址数据"
"Retrieve address info","获取地址信息"
"Retrieve customer addresses","获取客户地址"
"Retrieve customer data","获取客户数据"
"Retrieve customer's groups","获取客户组"
"Retrieve customers info","获取客户信息"
"Retrieve customers","获取客户记录"
"Retrieve your confirmation link here","在这里获取您的确认链接"
"Retrieve your password here","在这里找回密码"
"SKU","SKU"
"Sales Statistics","销售统计"
"Save Address","保存地址"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer Group","保存客户分组"
"Save Customer","保存客户"
"Save Password","保存密码"
"Save","保存"
"Saved ","已保存 "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","多个值使用半角分号(;)分隔.<br/>若第一个选项为空请将分号放在开头。<br />放空则使用输入框。"
"Send Welcome Email after Confirmation","验证成功后发送欢迎邮件"
"Send auto-generated password","发送自动生成的密码"
"Send confirmation link","发送确认链接"
"Send welcome email","发送欢迎邮件"
"Sending","正在发送"
"Sent","已发出"
"Session Start Time","会话开始时间"
"Set as Default Billing Address","设为默认的账单地址"
"Set as Default Shipping Address","设为默认的配送地址"
"Share Customer Accounts","共享客户帐户"
"Ship to First name","收货人名字"
"Ship to Last name","收货人姓氏"
"Shipped to First Name","收货人名字"
"Shipped to Last Name","收货人姓氏"
"Shipped to Name","收货人姓名"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shopping Cart - %d item(s)","购物车 - %d 件商品"
"Shopping Cart","购物车"
"Show Tax/VAT number","显示税号/增值税号码"
"Show date of birth","显示生日"
"Show middle name (initial)","显示中间名"
"Show prefix","显示称谓"
"Show suffix","显示后缀"
"Sign Up for Newsletter","订阅邮件列表"
"Skip import row, required field ""%s"" not defined","忽略导入行，必填栏目 ""%s"" 为定义"
"Skip import row, website ""%s"" field not exists","忽略导入行，网站 ""%s"" 栏不存在"
"State/Province","省份"
"Status","状态"
"Store View","商店视图"
"Store","商店"
"Street Address ","街道地址 "
"Street Address","地址行一"
"Subject","标题"
"Submit","提交"
"Subscribe to newsletter","订阅邮件列表"
"Subscribe","订阅"
"Subscribed to Newsletter?","订阅邮件列表？"
"Suffix dropdown options","后缀下拉选项"
"Suffix","后缀"
"TAX/VAT number is required.","税号/增值税号码不能为空。"
"Tag Name","标签名称"
"Tax Class","税种"
"Tax class","税率"
"Tax/VAT number","税号/增值税号码"
"Telephone","电话"
"Text One Line","一行文字"
"Text","文字"
"Thank you for registering with %s","感谢您注册%s"
"The account information has been saved.","账户信息已保存."
"The address does not belong to this customer","地址不属于该客户"
"The address was successfully deleted","成功删除地址"
"The address was successfully saved","成功保存地址"
"The suffix that goes after name (Jr., Sr., etc.)","显示于姓名之后的后缀 (Jr., Sr. 等.)"
"The title that goes before name (Mr., Mrs., etc.)","显示于姓名前的（Mr., Mrs. 等）"
"There are no items in customer's shopping cart at the moment","客户的购物车中没有商品"
"There are no items in customer's wishlist at the moment","客户的收藏中没有商品"
"There was an error while deleting the address","删除地址出错"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","帐号确认后将发送此邮件（而非默认欢迎邮件）。"
"This account is not confirmed.","该帐号尚未确认。"
"This customer has no saved addresses.","该客户没有保存地址。"
"This e-mail does not require confirmation.","此电子邮件不需要验证。"
"This email address was not found in our records","没有找到该电子邮件地址"
"This is My Primary %s Address","这是我的默认%s地址"
"To Cart","到购物车"
"Total","总计"
"Type","类型"
"Unknown","未知"
"Unsubscribe from newsletter","退订邮件列表"
"Update customer address data","更新用户地址数据"
"Update customer data","更新用户数据"
"Update","更新"
"Use as My Primary %s Address","作为我的默认%s地址"
"Use as my default billing address","作为我的默认账单地址"
"Use as my default shipping address","作为我的默认配送地址"
"User description","用户说明"
"View Order List","查看订单列表"
"View Order","查看订单"
"View","查看"
"Visible In","可见"
"Visitor","访客"
"Visitors Only","仅限访客"
"Website","网站"
"Welcome Email","欢迎邮件"
"Wishlist - %d item(s)","收藏 - %d件商品"
"Wishlist","收藏"
"Wrong confirmation key.","错误的确认码。"
"Wrong customer account specified.","错误的客户帐号。"
"Wrong email.","错误的电子邮件。"
"Wrong region id by selected country","已选国家的地区编号不正确"
"Wrong transactional account email type.","错误的交易帐号电子邮件类型。"
"XML","XML"
"YYYY","年年年年"
"Year","年份"
"You are currently not subscribed to any newsletter.","您没有订阅邮件列表。"
"You are currently not subscribed to our newsletter","您没有订阅我们的邮件列表"
"You are currently subscribed to 'General Subscription'.","您订阅了'本店快讯'."
"You are currently subscribed to our newsletter","您订阅了我们的邮件列表"
"You are currently subscribed to our newsletter.","您订阅了我们的邮件列表。"
"You are now logged out","您已登出"
"You have logged out and will be redirected to our homepage in 5 seconds.","您已成功登出, 在5秒后将跳转到首页."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","您已成功登出，在5秒后将转到首页。"
"You have no additional address entries in your address book.","您的地址簿中没有其它地址项。"
"You have no additional entries in your address book.","您的地址簿中没有其它地址项。"
"You have no default billing address in your address book.","您的地址簿中没有默认的账单地址。"
"You have no default shipping address in your address book.","您的地址簿中没有默认的配送地址。"
"You have no primary entries in your address book.","您的地址簿中没有默认地址。"
"You have not set a default billing address.","您没有设置默认账单地址。"
"You have not set a default shipping address.","您没有设置默认配送地址。"
"You have not set a primary billing address.","您没有设置默认账单地址。"
"You have not set a primary shipping address.","您没有设置默认配送地址。"
"You have placed no orders yet.","您还没有任何订单。"
"You have placed no products yet.","您还没有订购任何商品。"
"You're now Logged Out","您已退出"
"Your account balance is: %s","您的帐户余额为：%s"
"ZIP","邮编"
"ZIP/Post Code","邮编"
"ZIP/Postal Code","邮编"
"Zip/Postal Code","邮编"
"n/a","不适用"
"or","或"
