"Catalog","目录"
"Catalog, Search","目录，搜索"
"Categories Sitemap","分类站点地图"
"Categories","分类"
"Category API","分类 API"
"Category Data","分类数据"
"Category Navigation:","分类导航："
"Category Products","分类商品"
"Category Top Navigation","顶部目录导航"
"Category URL Suffix","目录 URL 后缀"
"Category attributes API","分类属性 API"
"Category delete error","删除分类出错"
"Category deleted","分类已删除"
"Category move error","移动分类出错"
"Category must be instance of Mage_Catalog_Model_Category","分类必须是 Mage_Catalog_Model_Category 实例"
"Category saved","分类已保存"
"Category","分类"
"Change or Retrieve attribute store view","修改或获取商店视图属性"
"Change status","修改状态"
"Change","修改"
"Check items to add to the cart or","选择商品添加至购物车或"
"Choose an Option...","选择选项..."
"Choose option...","选择选项..."
"Clear All Items","清除所有条目"
"Clear All","清除所有"
"Close Window","关闭窗口"
"Collapse All","全部叠起"
"Comparable on Front-end","可在前台比较"
"Comparable","可比较"
"Compare Items","比较条目"
"Compare Products (%d)","比较商品 (%d)"
"Compare Products - %d Items","比较商品 - %d件商品"
"Compare Products List","比较商品列表"
"Compare Products","比较商品"
"Compare list successfully cleared","成功删除比较列表"
"Conditions Combination","条件组合"
"Configurable Product Settings","可配置商品的设置"
"Configurable Product","可配置商品"
"Continue","继续"
"Copy From Configurable","从可配置复制"
"Country/State","国家/地区"
"Create (Upload)","创建（上传）"
"Create Empty","创建空白"
"Create Permanent Redirect for old URL","为原URL创建永久重定向"
"Create Permanent Redirect for old URLs if Url key changed","如果URL值改变则为原URL创建永久重定向"
"Create Product Settings","创建商品设置"
"Create Simple Associated Product","创建简单相关商品"
"Create new category","创建新分类"
"Create new product","创建新商品"
"Create","创建"
"Cross-sells","交叉销售"
"Currently Shopping by","当前购物人"
"Custom Design","自定义设计"
"Custom Options","自定义选项"
"Customer Group","客户组"
"Customers Reviews","客户评论"
"Customers Tagged Product","客户标签商品"
"Customers for alert %s was successfuly added to queue","成功添加提醒%s的客户到队列"
"Data Type for Saving in Database","保存在数据库的日期类型"
"Date & Time Custom Options","日期 & 时间自定义选项"
"Date Subscribed","订阅日期"
"Date fields order","日期栏位顺序"
"Date","日期"
"Datetime","日期时间"
"Decimal Number","小数"
"Decimal","小数"
"Declare attribute value saving scope","定义属性值保存范围"
"Default Qty","默认数量"
"Default Values","默认值"
"Default price","默认价格"
"Default value","默认值"
"Delete Attribute Set","删除属性组合"
"Delete Attribute","删除属性"
"Delete Category","删除分类"
"Delete Option","删除选项"
"Delete Row","删除行"
"Delete Search","删除搜索"
"Delete Selected Group","删除所选组"
"Delete category","删除分类"
"Delete product","删除商品"
"Delete","删除"
"Depends on design theme","取决于设计主题"
"Design","设计"
"Disabled","禁用"
"Display in Suggested Terms","在建议关键词中显示"
"Double click on a group to rename it","双击组改名"
"Double click on above image to view full picture","查看全图，请双击上面的图片"
"Dropdown","下拉菜单"
"Duplicate website tier price customer group and quantity.","复制网站分层价格客户组和数量。"
"Duplicate website, country and state tax found.","复制网站，国家和地区税率。"
"Duplicate","复制"
"Edit Attribute Set '%s'","修改属性组合'%s'"
"Edit Product Attribute ""%s""","修改商品属性""%s"""
"Edit Product Attribute","修改商品属性"
"Edit Search '%s'","修改搜索'%s'"
"Edit Search","修改搜索"
"Edit","修改"
"Email to a Friend","发邮件给朋友"
"Email","电子邮件"
"Empty","空"
"Enabled","激活"
"Error during retrieval of option value: %s","读取选项值时出错：%s"
"Error while adding customers for %s alert. Message: %s","添加%s提醒的客户时出错。信息：%s"
"Error while saving this group. Group with the same name already exists.","保存该组时出错，同名组已存在。"
"Error while saving this group. Please try again later.","保存该组时出错，请稍后再试。"
"Exclude","不显示"
"Expand All","全部展开"
"Failed to move file: %s","无法移动文件：%s"
"Failed","失败"
"Feature Products","推荐商品"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","请定义条件的型号名称"
"Filter must be as object. Set correct filter please","条件必须为对象，请修改条件"
"Filterable (no results)","有条件 (不含结果)"
"Filterable (with results)","有条件 (含结果)"
"Filters must be as array","条件必须为数组"
"First Name","名字"
"Fixed","固定"
"For internal use. Must be unique with no spaces","内部使用，必须唯一且不含空格"
"For reindex enabled product(s) you need specify store or product","您需要为支持索引商品指定 store 或 product 对象参数"
"Frontend Model","前台型号"
"Frontend Properties","前台属性"
"Frontend","前台"
"Gallery","图册"
"General Information","基本信息"
"Get special price","获取特价信息"
"Global","全站"
"Globally Editable","可全站修改"
"Go to Home Page","转到首页"
"Grid","网格"
"Grouped Product","组合商品"
"Groups","组"
"Home","首页"
"ID","编号"
"ID: %s","编号: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image content is not valid base64 data.","图片内容不是正确的 base64 数据。"
"Image file not found","图片文件没找到"
"Image not exists","图片不存在"
"Image not specified.","未指定图片。"
"Image type and information need to be specified for each store view.","每个商店视图要指定图片类型和信息。"
"Image","图片"
"In Stock","有库存"
"In stock","有库存"
"In stock.","有库存。"
"Incl. Tax","含税"
"Input Type","输入类型"
"Input Validation for Store Owner","输入格式"
"Integer Number","整数"
"Integer","整数"
"Invalid Tier Prices","错误的分级价格"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性%s (%s)的属性选项不正确，忽略该记录"
"Invalid attribute set specified, skipping the record","属性组合不正确，忽略该记录"
"Invalid block: %s","方框不正确：%s"
"Invalid category IDs","分类编号不正确"
"Invalid category","错误的分类"
"Invalid image file type","图片文件类型不正确"
"Invalid image type.","错误的分类类型。"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的选项编号不正确，忽略该记录"
"Invalid product type specified, skipping the record","商品类型不正确，忽略该记录"
"Invalid store specified","指定的商店不正确"
"Invalid store specified, skipping the record","商店不正确，忽略该记录"
"Inventory","库存"
"Is Default","默认"
"Is Required","必填"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜索结果中的商品， 相应商店中的状态要设置为'禁用'。"
"Label","标签"
"Last Name","姓氏"
"Last Notification","最近提醒"
"Learn More","了解更多"
"Length of text is too long","文本过长"
"Letters","字母"
"Letters(a-zA-Z) or Numbers(0-9)","字母(a-zA-Z)或数字(0-9)"
"Line %d, Email: %s","行%d，电子邮件：%s"
"Line %d, SKU: %s","行%d，SKU: %s"
"Link (Related, Up sell, Cross sell)","连接（关联，推荐销售，交叉销售）"
"Link product not exists.","连接产品不存在。"
"List Mode","列表方式"
"List","列表"
"Manage Attribute Sets","管理属性组合"
"Manage Attributes","管理属性"
"Manage Catalog Categories","管理目录分类"
"Manage Categories","管理分类"
"Manage Label / Options","管理标签/选项"
"Manage Options (values of your attribute)","管理选项 (属性值)"
"Manage Product Attributes","管理商品属性"
"Manage Product Sets","管理商品组合"
"Manage Products","管理商品"
"Manage Stock","管理库存"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、颜色等。)"
"Max Characters","最大字符数目"
"Maximal Depth","最大层数"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最多商品数量"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","最大字符数目"
"Media Image","媒体图片"
"Minimum Lines Per Page","每页最少行数"
"Minimum Qty Allowed in Shopping Cart","购物车中必须的最少商品数量"
"Minimum Qty for Item's Status to be Out of Stock","商品缺货状态的最低数量"
"Missing SKU, skipping the record","缺少 SKU，忽略该记录"
"More Views","更多"
"Move category in tree","移动分类"
"Move","移动"
"Multiple Select","多选"
"Name In %s","%s中名称"
"Name","名称"
"Name<br/>(For internal use)","名称<br/>(内部使用)"
"New Category","新分类"
"New Product Attribute","新商品属性"
"New Product","新增商品"
"New Products","新商品"
"New Search","新搜索"
"New Set Name","新组合名称"
"Next","下一个"
"No image","没有图片"
"No layout updates","无布局更新"
"No options of this product are available.","没有该商品的选项可用。"
"No product collections found","没有找到商品组合"
"No","否"
"None","无"
"Not shared with other products","没有与其它商品共享"
"Notify Low Stock RSS","低库存提醒RSS"
"Notify for Quantity Below","提醒数量低于"
"Nowhere","不可见"
"Number of Uses","使用次数"
"Number of results<br/>(For last time placed)","结果数量<br/>(最后一次)"
"OR","或"
"Old Price:","原价："
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","选项："
"Options Control","选项控制"
"Options is required","必填选项"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","缺货"
"Out of stock","缺货"
"Out of stock.","缺货。"
"PM","PM"
"Page Title","页面标题"
"Page Title Separator","页面标题分隔符"
"Page:","页："
"Parent Category","上层分类"
"Pending Reviews RSS","待审评论的RSS"
"Pending","等待"
"Percentage","百分比"
"Please add rows to option.","请添加行选项。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","请谨慎操作，一旦您点击此行，选定文件的包数据将被导入，所有未保存的表单将会丢失。"
"Please click on Close Window button if it won't be closed automatically","如果窗口没有自动关闭，点关闭按钮"
"Please enter a new group name","请输入新组名"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","请通过 系统-> <a href=""%s"">缓存管理</a> 刷新""目录重写""和""分层导航索引"""
"Please select  items","请选择商品"
"Please select one or more attributes.","请选择一个以上属性。"
"Please select product(s)","请选择商品"
"Please select products for attributes update","请选择商品更新属性"
"Please select static block ...","请选择固定方框 ..."
"Please set up merge date/time .","请设定合并日期/时间."
"Please specify date required option(s)","请指定日期必选项"
"Please specify the product option(s)","请指定产品选项"
"Please specify the product required option(s)","请指定产品必选项"
"Please specify the product's option(s).","请指定产品选项."
"Please specify the product's required option(s).","请指定产品必选项."
"Please specify the product(s) quantity","请指定产品数量"
"Please specify time required option(s)","请指定时间必选项"
"Please, use four-digit year format",请使用4位数年"
"Position In Layered Navigation","分层导航中的位置"
"Position of attribute in layered navigation block","分层导航方框中的属性位置"
"Position","位置"
"Prev","上一步"
"Previous","上一步"
"Price Type","价格类型"
"Price values for options should be specified in system base currency.","请在系统基准货币中输入选项价格。"
"Price","价格"
"Price:","价格："
"Prices","价目"
"Print This Page","打印该页"
"Problem saving the collection, aborting. Error: %s","保存组合时出错，退出。错误：%s"
"Product %s successfully added to compare list","成功增加商品%s到比较列表"
"Product %s successfully removed from compare list","成功从比较列表中删除商品%s"
"Product API","商品 API"
"Product Alerts","商品提醒"
"Product Attribute","商品属性"
"Product Attributes","商品属性"
"Product Categories","商品分类"
"Product Description","商品说明"
"Product Image Placeholders","商品图像方框"
"Product Image Watermarks","商品图像水印"
"Product Images API","商品图片 API"
"Product Images","商品图片"
"Product In Websites","商品网站"
"Product Info Column","商品信息栏"
"Product Information","商品信息"
"Product Name","商品名称"
"Product Reviews","商品评论"
"Product Tags","商品标签"
"Product Tier Price API","商品分级价格 API"
"Product Type","商品类型"
"Product URL Suffix","商品 URL 后缀"
"Product attribute sets API","商品属性集合 API"
"Product attribute was successfully deleted","成功删除商品属性"
"Product attribute was successfully saved","成功保存商品属性"
"Product attributes API","商品属性 API"
"Product collection expected","需要商品组合"
"Product deleted","商品已删除"
"Product duplicated","商品已复制"
"Product has required options","商品包含必选项"
"Product links API (related, cross sells, up sells)","商品连接 API （相关商品，交叉销售，推荐销售）"""
"Product listing sort by","商品列表排序依照"
"Product saving error. ","商品保存有误。 "
"Product saving error.","保存商品出错。"
"Product types API","商品类型 API"
"Product was successfully created.","成功创建商品。"
"Product was successfully saved.","成功保存商品"
"Product with this combination of attributes already associated to configurable.","该属性组合的商品已与配置关联。"
"Product","商品"
"Products Information","商品信息"
"Products Reviews","商品评论"
"Products Sitemap","商品站点地图"
"Products only","仅限商品"
"Products per Page on Grid default value","每页网格商品数量的默认值"
"Products per Page on List allowed values","列表方式下每页商品显示数允许值"
"Products per Page on List default value","每页列表商品数量的默认值"
"Products per page on Grid allowed values","网格方式下每页商品显示数量允许值"
"Products","商品"
"Properties","属性"
"Qty Uses Decimals","数量用十进制"
"Qty for Item's Status to become Out of Stock","此数量时将商品状态设置为库存不足"
"Qty","数量"
"Quick Create","快速创建"
"Quick Overview","快速查看"
"Quick simple product creation","快速创建简单商品"
"Records for ""","记录"""
"Redirect URL","重定向网址"
"Redirect","重定向"
"Regular Price:","原价："
"Related Products","相关商品"
"Remove Product From Websites","从网站删除商品"
"Remove Product","删除商品"
"Remove This Item","删除该项目"
"Remove product assignment","从分类中删除分配商品"
"Remove product image","删除商品图片"
"Remove product link","删除商品连接"
"Remove","删除"
"Required","必填"
"Reset","重置"
"Results","结果"
"Retrieve attribute data","获取属性数据"
"Retrieve attribute list","获取属性列表"
"Retrieve attribute options","获取属性选项"
"Retrieve categories tree","获取分类树"
"Retrieve category attributes","获取目录属性"
"Retrieve category data","获取目录数据"
"Retrieve hierarchical tree","获取分级(目录)树"
"Retrieve linked products","获取连接商品列表"
"Retrieve list of assigned products","获取指定商品列表"
"Retrieve one level of categories by website/store view/parent category","根据网站/商店视图/父目录获取单层分类"
"Retrieve product attribute sets","获取商品属性集合"
"Retrieve product image list","获取商品图片列表"
"Retrieve product image types","获取商品图片类型"
"Retrieve product image","获取商品图片"
"Retrieve product link type attributes","获取商品连接类型属性"
"Retrieve product link types","获取商品连接类型"
"Retrieve product tier prices","获取商品分级价格"
"Retrieve product types","获取商品类型"
"Retrieve product","获取商品信息"
"Retrieve products data","获取商品数据"
"Retrieve products list by filters","根据过滤器获取商品列表"
"Review successfully deleted","成功删除评论"
"Review was saved successfully","成功保存评论"
"Review was successfully saved","成功保存评论"
"Reviews","评论"
"Roll Over for preview","总评"
"Root","根分类"
"SKU","SKU"
"Save And Continue Edit","保存并继续修改"
"Save Attribute Set","保存属性组合"
"Save Attribute","保存属性"
"Save Category","保存分类"
"Save Search","保存搜索"
"Save","保存"
"Saved ","保存 "
"Scope","范围"
"Search Engine Optimizations","搜索引擎优化"
"Search Information","搜索信息"
"Search Query","搜索"
"Search Term was successfully saved","成功保存搜索关键词"
"Search Term with such search query already exist.","搜索关键词已存在。"
"Search was successfully deleted","成功删除搜索"
"Search","搜索"
"Searchable","可搜索"
"Select Configurable Attributes ","选择可设置属性"
"Select type of option","选择选项类型"
"Select type options required values rows.","选择类型选项需指定选项值数组"
"Selected Product Types","选择商品类型"
"Selected configuration is not available.","选择的设置不可用。"
"Send Count","发送计算"
"Set Ascending Direction","设为升序"
"Set Descending Direction","设为降序"
"Set Name","组合名称"
"Set Root Category For Store","给商店设置根分类"
"Set root category for this store in the <a href=""%s"">configuration</a>","在<a href=""%s"">设置</a>中给该商店设置根分类"
"Set special price","设置特价"
"Set/Get current store view","设置/获得当前商店视图"
"Settings","设置"
"Shop by","购物"
"Shopping Options","购物选项"
"Show Details","显示详情"
"Show Tags","显示标签"
"Show","显示"
"Simple Product","简单商品"
"Site Map","网站地图"
"Sitemap","网站地图"
"Skip import row, is not valid value ""%s"" for field ""%s""","忽略导入行，不是正确的 ""%s"" 在栏目 ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","忽略导入行，新客户的必填栏目""%s""未定义"
"Skip import row, required field ""%s"" for new products not defined","忽略导入行，新商品的必填栏目""%s""未定义"
"Skip import row, required field ""%s"" not defined","忽略导入行，必填栏目""%s""未定义"
"Skip import row, store ""%s"" field not exists","忽略导入行，商店""%s""栏目不存在"
"Sort Order","顺序"
"Sort by","排序方式"
"Sort By","排序方式"
"Source Model","源型号"
"Special Price:","特价："
"Special Price","特价"
"Starting at:","起价："
"Static block and products","固定方框和商品"
"Static block only","仅固定方框"
"Static","固定"
"Status","状态"
"Stock Availability","库存情况"
"Store View","商店视图"
"Store","商店"
"Stretch","伸展"
"Subscribe to Feed","订阅Feed"
"Subscribe to RSS Feed","订阅 RSS Feed"
"Super product attributes configuration","高级商品属性设置"
"Synonym For","同义"
"Synonym for","同义"
"System Properties","系统属性"
"System","系统"
"Tag Name","标签名"
"Tax","税"
"Text Area","文字区域"
"Text Field","文字栏目"
"Text","文字"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","平面目录模块有 %2\$d 可过滤/可排序属性的限制. 当前已经有 %1\$d. 请减少可过滤/可排序属性的数量."
"The attribute model is not defined","属性模型未定义"
"The attribute set has been saved.","属性集已保存."
"The base directory to upload image file is not specified.","The base directory to upload image file is not specified."
"The category has been deleted.","The category has been deleted."
"The category has been saved.","The category has been saved."
"The comparison list was cleared.","The comparison list was cleared."
"The email template is not specified by administrator.","The email template is not specified by administrator."
"The filters must be an array.","The filters must be an array."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","The image is not specified."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"The product %s has been removed from comparison list.","The product %s has been removed from comparison list."
"The product attribute has been deleted.","The product attribute has been deleted."
"The product attribute has been saved.","The product attribute has been saved."
"The product has been created.","The product has been created."
"The product has been deleted.","The product has been deleted."
"The product has been duplicated.","The product has been duplicated."
"The product has been saved.","The product has been saved."
"The product has required options","The product has required options"
"The review has been deleted","The review has been deleted"
"The review has been saved.","The review has been saved."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"The search was deleted.","The search was deleted."
"The text is too long","文本太长喽"
"There are no %s available.","没有%s可用。"
"There are no customers for this alert","该提醒没有客户"
"There are no products matching the selection.","没有与选择匹配的商品。"
"There was an error while adding products to websites","增加商品到网站时出错"
"There was an error while cleared compare list","清空比较列表出错"
"There was an error while removing products from websites","从网站删除商品时出错"
"There was an error while updating product(s) attributes","更新商品属性时出错"
"There was an error while updating product(s) status","更新商品状态出错"
"This attribute no longer exists","该属性不存在"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","该属性组包含可配置商品所使用属性。请将这些属性移到另外的属性组再试。"
"This group contains system attributes. Please move system attributes to another group and try again.","该属性组包含系统属性。请将系统属性移到另外一个组后再试。"
"This is a required option","This is a required option"
"This search no longer exists","该搜索已不存在"
"Tier Pricing","分级价格"
"Tile","排列"
"Time format","Time format"
"Title","标题"
"Top/Left","左上"
"Top/Right","右上"
"Total Qty Base Items","Base 记录总数 "
"Total incl. Tax: %1$s","税总额： %1$s"
"Total of %d record(s) were successfully deleted","成功删除%d个记录"
"Total of %d record(s) were successfully updated","成功更新%d个记录"
"Type","类型"
"Unable to complete request. Please try again later.","无法完成请求，请稍后再试。"
"Unable to find a search term to delete","没有找到要删除的搜索关键词"
"Unable to find an attribute to delete","没有找到要删除的属性"
"Unable to get product id.","无法取得商品编号。"
"Unassigned Attributes","未指定的属性"
"Unique Value (not shared with other products)","唯一值 (没有与其它商品共享)"
"Unique Value","唯一值"
"Unknown attribute: %s","未知属性：%s"
"Up-sells","推荐销售"
"Update Attributes","更新属性"
"Update Tier Price","更新分层价格"
"Update assigned product","更新指定商品"
"Update attributes","更新属性"
"Update category","更新分类"
"Update product image","更新商品图片"
"Update product link","更新商品连接"
"Update product tier prices","更新商品分级价格"
"Update product","更新商品"
"Update","更新"
"Upload new product image ","上传新的商品图片 "
"Url Rewrite Management","网址重写"
"Url rewrie save problem.","网址重写保存问题。"
"Url","网址"
"Use Config Settings","使用设置值"
"Use Default Value","使用默认值"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","用于分层导航"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用于分级导航<br/>(仅用于目录输入类型'下拉菜单')"
"Use In Search Results Layered Navigation","用于分层导航搜索结果"
"Use JavaScript Calendar","使用 JavaScript 日历"
"Use To Create Configurable Product","用于创建可配置商品"
"Use Tree Like Category Sitemap","使用树形格式的目录网站地图Use Tree Like Category Sitemap"
"Use categories path for product URLs","商品网址使用目录路径"
"Use in advanced search","用于高级搜索"
"Use in quick search","用于快速搜索"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","必填项"
"Varchar","变量"
"View as","查看"
"Virtual Product","虚拟商品"
"Visibility","可见性"
"Visible on Catalog Pages on Front-end","在前台目录页面可见"
"Visible on Product View Page on Front-end","在前台产品页面可见"
"Visible","可见"
"Watermark Default Size","水印默认大小"
"Watermark Position","水印位置"
"Watermark","水印"
"We Also Recommend","我们向您推荐We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","网站"
"Websites","网站"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","年份范围"
"Yes","是"
"Yes/No","是/否"
"You cannot delete this attribute","无法删除该属性"
"You cannot edit this attribute","无法修改该属性"
"You cannot remove system attribute from this set.","不能从改组合中删除系统属性。"
"You cannot update this attribute","无法更新该属性"
"You have no items to compare.","没有要比较的商品。"
"You may also be interested in the following product(s)","您也许会喜欢下面的商品"
"Zoom In","放大"
"Zoom Out","缩小"
"[GLOBAL]","[全站]"
"and above","及以上"
"and","和"
"cache refresh needed","需要刷新缓存"
"categories","分类"
"comma separated","以半角逗号分隔"
"each","每个"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","如果不是图片则留空"
"must be in the allowed values list","必须从允许取值列表中选择"
"per page","每页"
"products","商品"
"px.","px."
"save","保存"
"select all","全选"
"unselect all","取消全选"
"x","x"
